"Éves településstatisztikai adatok 2020-as településszerkezetben"
"Magyarország települései"

"(2017. év)"

" ";"Mutatók";
"Terület";"A település területe (km2)";"Lakónépesség száma az év közepén (a népszámlálás végleges adataiból továbbszámított adat) (fõ)";"Lakónépességbõl a 15-64 évesek száma az év végén (fõ)";"Nyilvántartott álláskeresõk száma összesen (fõ)";"180 napon túli nyilvántartott álláskeresõk száma összesen (fõ)";"Egy éven túl nyilvántartott álláskeresõk száma összesen (fõ)";"Közfoglalkoztatottak száma (fõ)";
"Lajoskomárom";"75,67";"2172,5";"1423,0";"34";"17";"7";"53";
"Lepsény";"39,08";"2968,5";"2026,0";"71";"29";"18";"34";
"Mátyásdomb";"35,39";"763,0";"540,0";"32";"23";"5";"19";
"Mezõkomárom";"29,05";"901,5";"596,0";"24";"6";"2";"48";
"Mezõszentgyörgy";"27,12";"1279,0";"893,0";"48";"14";"9";"24";
"Szabadhídvég";"44,10";"823,5";"555,0";"12";"3";"1";"51";
"Gárdonyi járás";"306,79";"31870,5";"20919,0";"400";"146";"87";"161";
"Gárdony";"63,50";"11029,5";"7071,0";"146";"49";"30";"45";
"Kápolnásnyék";"41,50";"3728,5";"2490,0";"42";"14";"10";"19";
"Nadap";"6,93";"625,5";"400,0";"9";"3";"1";"3";
"Pákozd";"43,30";"3133,0";"2175,0";"45";"21";"14";"16";
"Pázmánd";"27,14";"2190,0";"1458,0";"15";"8";"5";"14";
"Sukoró";"16,27";"1543,0";"993,0";"11";"4";"3";"12";
"Szabadegyháza";"41,64";"2038,0";"1410,0";"48";"20";"11";"16";
"Velence";"33,37";"5891,5";"3731,0";"47";"17";"8";"19";
"Vereb";"22,32";"776,0";"531,0";"6";"4";"1";"9";
"Zichyújfalu";"10,82";"915,5";"660,0";"31";"6";"4";"8";
"Martonvásári járás";"277,13";"26613,0";"18177,0";"510";"263";"148";"195";
"Baracska";"39,68";"2726,5";"1864,0";"35";"15";"12";"22";
"Ercsi";"65,31";"8072,5";"5469,0";"285";"154";"82";"77";
"Gyúró";"24,37";"1266,0";"858,0";"9";"4";"3";"12";
"Kajászó";"23,98";"1063,0";"744,0";"23";"17";"9";"6";
"Martonvásár";"31,25";"5623,0";"3815,0";"45";"17";"10";"18";
"Ráckeresztúr";"35,30";"3316,5";"2273,0";"66";"32";"19";"31";
"Tordas";"16,76";"2124,0";"1490,0";"12";"7";"4";"7";
"Vál";"40,48";"2421,5";"1664,0";"35";"17";"9";"22";
"Móri járás";"417,55";"33863,0";"22980,0";"568";"201";"110";"125";
"Bakonycsernye";"38,13";"2943,5";"2018,0";"54";"19";"8";"14";
"Balinka";"18,62";"875,5";"579,0";"25";"10";"3";"4";
"Bodajk";"28,98";"4009,5";"2774,0";"64";"23";"16";"16";
"Csákberény";"41,37";"1158,0";"753,0";"27";"8";"3";"10";
"Csókakõ";"10,92";"1428,5";"927,0";"22";"8";"7";"5";
"Fehérvárcsurgó";"29,64";"1963,0";"1337,0";"26";"7";"5";"5";
"Isztimér";"53,88";"960,0";"636,0";"14";"2";" ";"6";
"Kincsesbánya";"10,87";"1408,5";"968,0";"22";"11";"7";"5";
"Magyaralmás";"22,42";"1536,0";"1022,0";"15";"8";"5";"5";
"Mór";"108,61";"13941,5";"9468,0";"255";"93";"49";"32";
"Nagyveleg";"13,17";"651,0";"464,0";"12";"2";"1";"7";
"Pusztavám";"34,69";"2462,0";"1656,0";"30";"10";"6";"13";
"Söréd";"6,25";"526,0";"378,0";"2";" ";" ";"3";
"Sárbogárdi járás";"653,52";"27328,5";"18475,0";"853";"344";"199";"617";
"Alap";"48,29";"1872,5";"1295,0";"36";"7";"6";"29";
"Alsószentiván";"39,65";"599,0";"405,0";"8";"2";"2";"26";
"Cece";"58,85";"2576,0";"1764,0";"82";"36";"23";"71";
"Hantos";"36,96";"936,5";"635,0";"18";"6";"4";"21";
"Igar";"41,19";"894,5";"633,0";"53";"31";"23";"54";
"Mezõszilas";"64,97";"2037,5";"1277,0";"36";"10";"5";"40";
"Nagylók";"32,44";"1059,5";"730,0";"15";"4";"3";"14";
"Sárbogárd";"189,33";"11949,5";"8152,0";"414";"164";"99";"206";
"Sáregres";"26,16";"724,0";"505,0";"20";"6";"5";"18";
"Sárkeresztúr";"46,75";"2487,0";"1589,0";"105";"48";"22";"93";
"Sárszentágota";"45,50";"1323,5";"903,0";"31";"14";"4";"26";
"Vajta";"23,43";"869,0";"587,0";"35";"16";"3";"19";
"Székesfehérvári járás";"1042,05";"151356,0";"101240,0";"2195";"889";"561";"786";
"Aba";"88,05";"4418,5";"3079,0";"85";"22";"16";"36";
"Bakonykúti";"12,45";"139,5";"92,0";" ";" ";" ";"2";
"Csór";"41,49";"1757,0";"1228,0";"32";"11";"5";"10";
"Csõsz";"17,11";"962,5";"677,0";"17";"6";"5";"13";
"Füle";"30,32";"851,5";"573,0";"22";"9";"6";"8";
"Iszkaszentgyörgy";"26,27";"1992,0";"1399,0";"35";"17";"11";"8";
"Jenõ";"5,56";"1256,5";"896,0";"20";"6";"5";"2";
"Káloz";"47,79";"2301,5";"1539,0";"41";"27";"19";"29";
"Kõszárhegy";"5,90";"1456,0";"1031,0";"17";"7";"5";"7";
"Lovasberény";"60,62";"2556,0";"1730,0";"46";"22";"15";"27";
"Moha";"9,88";"586,5";"409,0";"7";"4";"1";"3";
"Nádasdladány";"26,35";"1735,5";"1226,0";"40";"18";"10";"20";
"Pátka";"40,38";"1701,0";"1164,0";"36";"10";"7";"41";
"Polgárdi";"72,16";"6924,0";"4794,0";"131";"56";"33";"34";
"Sárkeresztes";"23,27";"1489,5";"1038,0";"20";"8";"4";"12";
"Sárkeszi";"14,79";"601,0";"443,0";"12";"6";"2";"12";
"Sárosd";"48,12";"3177,0";"2184,0";"63";"25";"14";"66";
"Sárszentmihály";"37,40";"2942,5";"2037,0";"56";"20";"14";"27";
"Seregélyes";"78,19";"4327,5";"3048,0";"51";"17";"12";"41";
"Soponya";"49,96";"1776,0";"1217,0";"29";"13";"12";"36";
"Szabadbattyán";"33,66";"4498,0";"3090,0";"79";"36";"25";"23";
"Székesfehérvár";"170,89";"97499,5";"63945,0";"1262";"509";"316";"261";
"Tác";"45,69";"1713,5";"1152,0";"21";"9";"4";"22";
"Úrhida";"7,25";"2480,0";"1710,0";"36";"16";"13";"19";
"Zámoly";"48,50";"2213,5";"1539,0";"37";"15";"7";"27";
"Budapest, illetve fiktív területi egység";" ";" ";" ";" ";" ";" ";" ";
"Fejér megye területre nem bontható adatai";" ";" ";" ";" ";" ";" ";" ";
"Komárom-Esztergom megye";"2264,35";"297417,5";"199417,0";"4641";"1819";"1016";"2214";
"Esztergomi járás";"537,51";"90800,5";"59893,0";"1380";"591";"354";"632";
"Annavölgy";"4,83";"903,0";"597,0";"20";"8";"4";"13";
"Bajna";"37,27";"1862,0";"1250,0";"35";"20";"13";"26";
"Bajót";"16,44";"1641,5";"1084,0";"43";"29";"19";"14";
