"Éves településstatisztikai adatok 2020-as településszerkezetben"
"Magyarország települései"

"(2020. év)"

" ";"Mutatók";
"Terület";"A település területe (km2)";"Lakónépesség száma az év közepén (a népszámlálás végleges adataiból továbbszámított adat) (fõ)";"Lakónépességbõl a 15-64 évesek száma az év végén (fõ)";"Nyilvántartott álláskeresõk száma összesen (fõ)";"180 napon túli nyilvántartott álláskeresõk száma összesen (fõ)";"Egy éven túl nyilvántartott álláskeresõk száma összesen (fõ)";"Közfoglalkoztatottak száma (fõ)";
"Szõdliget";"7,31";"4681,0";"2986,0";"50";"22";"8";"5";
"Vác";"61,60";"33009,0";"20978,0";"612";"344";"156";"28";
"Vácduka";"8,40";"1705,0";"1114,0";"26";"13";"6";"9";
"Váchartyán";"12,11";"1792,0";"1236,0";"37";"18";"9";"5";
"Váckisújfalu";"10,70";"431,0";"272,0";"7";"7";"6";"1";
"Vácrátót";"18,09";"2015,5";"1366,0";"48";"25";"12";"4";
"Vecsési járás";"119,75";"50689,0";"34064,0";"716";"268";"133";"24";
"Ecser";"13,10";"4068,5";"2619,0";"44";"14";"6";"2";
"Maglód";"22,38";"12593,5";"8552,0";"174";"65";"38";"7";
"Üllõ";"48,10";"12607,0";"8524,0";"211";"83";"46";"5";
"Vecsés";"36,17";"21420,0";"14369,0";"287";"106";"43";"10";
"Budapest, illetve fiktív területi egység";" ";" ";" ";" ";" ";" ";" ";
"Pest megye területre nem bontható adatai";" ";" ";" ";" ";" ";" ";" ";
"Dunántúl";"36612,27";"2928722,0";"1905407,0";"78813";"40141";"21042";"18099";
"Közép-Dunántúl (Fejér, Komárom-Esztergom, Veszprém)";"11086,68";"1060170,5";"692598,0";"23602";"11047";"5546";"3383";
"Fejér megye";"4358,57";"418652,0";"274787,0";"9574";"4624";"2478";"1247";
"Bicskei járás";"578,25";"36097,5";"24240,0";"556";"243";"139";"76";
"Alcsútdoboz";"50,71";"1473,0";"936,0";"21";"13";"6";"9";
"Bicske";"77,08";"11463,0";"7733,0";"196";"88";"53";"13";
"Bodmér";"7,17";"234,5";"156,0";"5";"3";"1";" ";
"Csabdi";"17,02";"1302,0";"864,0";"19";"7";"5";"3";
"Csákvár";"118,76";"5501,5";"3654,0";"91";"38";"20";"6";
"Etyek";"53,27";"4257,5";"2893,0";"34";"11";"7";"4";
"Felcsút";"22,02";"1909,0";"1319,0";"24";"13";"8";" ";
"Gánt";"58,15";"845,5";"566,0";"10";"3";"2";"4";
"Mány";"44,72";"2452,0";"1644,0";"51";"20";"10";"9";
"Óbarok";"19,26";"814,0";"585,0";"22";"11";"5";"6";
"Szár";"22,63";"1757,0";"1149,0";"14";"4";"2";"2";
"Tabajd";"26,57";"951,0";"628,0";"12";"7";"4";"9";
"Újbarok";"1,49";"463,0";"323,0";"11";"5";"2";" ";
