"Éves településstatisztikai adatok 2020-as településszerkezetben"
"Magyarország települései"

"(2018. év)"

" ";"Mutatók";
"Terület";"Nyilvántartott álláskeresõk száma összesen (fõ)";"180 napon túli nyilvántartott álláskeresõk száma összesen (fõ)";"Egy éven túl nyilvántartott álláskeresõk száma összesen (fõ)";"Közfoglalkoztatottak száma (fõ)";
"Balatoncsicsó";"6";"4";"3";"1";
"Balatonfüred";"237";"80";"52";"32";
"Balatonszepezd";"6";"2";"1";"1";
"Balatonszõlõs";"14";"6";"1";"4";
"Balatonudvari";"9";"6";"5";" ";
"Csopak";"21";"9";"6";"1";
"Dörgicse";"12";"6";"4";"2";
"Lovas";"8";"4";"2";"8";
"Monoszló";"3";"1";"1";"3";
"Óbudavár";" ";" ";" ";"1";
"Örvényes";"3";"1";" ";"1";
"Paloznak";"6";"3";"2";" ";
"Pécsely";"15";"7";"3";"5";
"Szentantalfa";"8";"3";"2";"4";
"Szentjakabfa";"2";"1";" ";"2";
"Tagyon";"4";" ";" ";"1";
"Tihany";"19";"8";"5";"2";
"Vászoly";"8";"5";"2";"2";
"Zánka";"16";"8";"5";"3";
"Devecseri járás";"338";"152";"84";"273";
"Adorjánháza";"12";"3";"2";"4";
"Apácatorna";"2";"1";"1";"2";
"Borszörcsök";"14";"5";"3";"5";
"Csögle";"12";"6";"4";"17";
"Dabrony";"6";"3";"1";"4";
"Devecser";"97";"50";"30";"86";
"Doba";"6";"2";"1";"6";
"Egeralja";"5";"5";"4";"1";
"Iszkáz";"6";"3";"1";"6";
"Kamond";"6";"1";" ";"9";
"Karakószörcsök";"8";"5";"4";"4";
"Kerta";"13";"6";"2";"3";
"Kisberzseny";"2";"1";" ";"4";
"Kiscsõsz";"2";"2";"2";"3";
"Kispirit";"1";" ";" ";"3";
"Kisszõlõs";"12";"3";"2";"7";
"Kolontár";"15";"7";"4";"9";
"Nagyalásony";"8";"2";"1";"6";
"Nagypirit";"5";"3";" ";"12";
